Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
edb658f9-7944-4b54-ae30-70b58c4acd23,370846b1677ba54f3b854ef700d60ab21c4c83140f597bf8f62b8031f9d6f7a4,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,5,People have best intentions,33,female,Bolivia
edb658f9-7944-4b54-ae30-70b58c4acd23,370846b1677ba54f3b854ef700d60ab21c4c83140f597bf8f62b8031f9d6f7a4,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,33,female,Bolivia
edb658f9-7944-4b54-ae30-70b58c4acd23,370846b1677ba54f3b854ef700d60ab21c4c83140f597bf8f62b8031f9d6f7a4,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,33,female,Bolivia
edb658f9-7944-4b54-ae30-70b58c4acd23,370846b1677ba54f3b854ef700d60ab21c4c83140f597bf8f62b8031f9d6f7a4,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,33,female,Bolivia
edb658f9-7944-4b54-ae30-70b58c4acd23,370846b1677ba54f3b854ef700d60ab21c4c83140f597bf8f62b8031f9d6f7a4,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,33,female,Bolivia
edb658f9-7944-4b54-ae30-70b58c4acd23,370846b1677ba54f3b854ef700d60ab21c4c83140f597bf8f62b8031f9d6f7a4,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 BOB and the same 50-percent chance of receiving nothing, OR Option 2: 5 BOB as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 5,33,female,Bolivia
edb658f9-7944-4b54-ae30-70b58c4acd23,370846b1677ba54f3b854ef700d60ab21c4c83140f597bf8f62b8031f9d6f7a4,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 BOB and the same 50-percent chance of receiving nothing, OR Option 2: 10 BOB as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 10,33,female,Bolivia
edb658f9-7944-4b54-ae30-70b58c4acd23,370846b1677ba54f3b854ef700d60ab21c4c83140f597bf8f62b8031f9d6f7a4,What would you prefer? Option 1: A payment of 100 BOB today OR Option 2: 103.0 BOB in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 103.0,33,female,Bolivia
edb658f9-7944-4b54-ae30-70b58c4acd23,370846b1677ba54f3b854ef700d60ab21c4c83140f597bf8f62b8031f9d6f7a4,What would you prefer? Option 1: A payment of 100 BOB today OR Option 2: 106.1 BOB in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 106.1,33,female,Bolivia
edb658f9-7944-4b54-ae30-70b58c4acd23,370846b1677ba54f3b854ef700d60ab21c4c83140f597bf8f62b8031f9d6f7a4,Imagine someone did you a favor that cost them 3 BOB. How much would you be willing to spend to return the favor? Please answer with a single number.,5 BOB,Reciprocation 3,33,female,Bolivia
edb658f9-7944-4b54-ae30-70b58c4acd23,370846b1677ba54f3b854ef700d60ab21c4c83140f597bf8f62b8031f9d6f7a4,Imagine someone did you a favor that cost them 6 BOB. How much would you be willing to spend to return the favor? Please answer with a single number.,6,Reciprocation 6,33,female,Bolivia
edb658f9-7944-4b54-ae30-70b58c4acd23,370846b1677ba54f3b854ef700d60ab21c4c83140f597bf8f62b8031f9d6f7a4,Imagine someone did you a favor that cost them 9 BOB. How much would you be willing to spend to return the favor? Please answer with a single number.,9,Reciprocation 9,33,female,Bolivia
edb658f9-7944-4b54-ae30-70b58c4acd23,370846b1677ba54f3b854ef700d60ab21c4c83140f597bf8f62b8031f9d6f7a4,Imagine someone did you a favor that cost them 12 BOB. How much would you be willing to spend to return the favor? Please answer with a single number.,12,Reciprocation 12,33,female,Bolivia
edb658f9-7944-4b54-ae30-70b58c4acd23,370846b1677ba54f3b854ef700d60ab21c4c83140f597bf8f62b8031f9d6f7a4,Imagine someone did you a favor that cost them 12 BOB. How much would you be willing to spend to return the favor? Please answer with a single number.,12,Reciprocation 12,33,female,Bolivia
edb658f9-7944-4b54-ae30-70b58c4acd23,370846b1677ba54f3b854ef700d60ab21c4c83140f597bf8f62b8031f9d6f7a4,Imagine someone did you a favor that cost them 15 BOB. How much would you be willing to spend to return the favor? Please answer with a single number.,15 BOB,Reciprocation 15,33,female,Bolivia
edb658f9-7944-4b54-ae30-70b58c4acd23,370846b1677ba54f3b854ef700d60ab21c4c83140f597bf8f62b8031f9d6f7a4,Imagine someone did you a favor that cost them 18 BOB. How much would you be willing to spend to return the favor? Please answer with a single number.,18,Reciprocation 18,33,female,Bolivia
edb658f9-7944-4b54-ae30-70b58c4acd23,370846b1677ba54f3b854ef700d60ab21c4c83140f597bf8f62b8031f9d6f7a4,You unexpectedly received 600.0000000000001 BOB. How much of this amount would you donate to a good cause? Please answer with a single number.,100000 BOB,Donation 600.0000000000001,33,female,Bolivia
